segment_id,highway_name,segment_length_m,pronghorn_overlap_high_use,pronghorn_overlap_stopover,elk_overlap_high_use,elk_overlap_stopover,meters_to_pronghorn_highway,meters_to_pronghorn_stopover,meters_to_elk_highway,meters_to_elk_stopover
126829,S 260,160.82,0,0,0,0,252755.75,256516.66,247029.85,251959.39
126836,I 040                       0,160.89,0,0,0,0,30128.14,32905.69,22725.95,29221.19
126837,I 040,160.89,0,0,0,0,30069.76,32854.48,22680.94,29171.17
126840,S 260                       0,160.82,0,0,0,0,252812.26,256571.5,247082.45,252015.51
126843,S 260,160.82,0,0,0,0,252817.94,256577.02,247087.73,252021.15
126850,I 040                       0,160.89,0,0,0,0,30288.88,33066.17,22884.74,29379.22
126851,I 040,160.89,0,0,0,0,30230.51,33014.94,22839.65,29331.91
126854,S 260                       0,160.82,0,0,0,0,252874.53,256631.95,247140.41,252077.34
126857,S 260,160.82,0,0,0,0,252880.22,256637.47,247145.71,252082.99
126864,I 040                       0,160.89,0,0,0,0,30449.62,33226.65,23043.55,29537.28
126865,I 040,160.89,0,0,0,0,30391.26,33175.4,22998.39,29492.65
126868,S 260                       0,160.82,0,0,0,0,252936.88,256692.47,247198.46,252139.26
126871,S 260,160.82,0,0,0,0,252942.58,256698.0,247203.77,252144.92
126878,I 040                       0,160.89,0,0,0,0,30610.36,33387.14,23202.39,29695.38
126879,I 040,160.89,0,0,0,0,30552.01,33335.87,23157.17,29652.04
126882,S 260                       0,160.82,0,0,0,0,252999.27,256753.04,247256.56,252201.22
126885,S 260,160.82,0,0,0,0,253004.97,256758.57,247261.87,252206.88
126892,I 040                       0,160.89,0,0,0,0,30771.1,33547.63,23361.26,29853.5
126893,I 040,160.89,0,0,0,0,30712.76,33496.33,23315.96,29810.1
126896,S 260                       0,160.82,0,0,0,0,253061.73,256813.67,247314.72,252263.25
126900,S 260,160.82,0,0,0,0,253067.44,256819.21,247320.04,252268.92
126906,I 040                       0,160.89,0,0,0,0,30931.84,33708.12,23520.16,30011.65
126907,I 040,160.89,0,0,0,0,30873.52,33656.81,23474.78,29968.17
126910,S 260                       0,160.82,0,0,0,0,253124.32,256874.43,247373.02,252325.4
126914,S 260,160.82,0,0,0,0,253130.04,256879.99,247378.35,252331.09
126920,I 040                       0,160.89,0,0,0,0,31092.59,33868.62,23679.09,30169.83
126921,I 040,160.89,0,0,0,0,31034.28,33817.26,23633.6,30126.24
126924,S 260                       0,160.82,0,0,0,0,253187.05,256935.34,247431.47,252387.71
126928,S 260,160.82,0,0,0,0,253192.79,256940.91,247436.82,252393.4
126934,I 040                       0,160.89,0,0,0,0,31253.38,34028.99,23837.77,30327.72
126935,I 040,160.89,0,0,0,0,31195.13,33977.33,23791.68,30283.46
126938,S 260                       0,160.82,0,0,0,0,253249.85,256996.31,247489.99,252450.07
126942,S 260,160.82,0,0,0,0,253255.58,257001.87,247495.33,252455.77
126948,I 040                       0,160.89,0,0,0,0,31414.04,34188.12,23994.41,30483.3
126949,I 040,160.89,0,0,0,0,31355.76,34136.24,23947.9,30438.6
126952,S 260                       0,160.82,0,0,0,0,253312.64,257057.27,247548.5,252512.44
126956,S 260,160.82,0,0,0,0,253318.38,257062.84,247553.85,252518.13
126962,I 040                       0,160.89,0,0,0,0,31573.55,34344.52,24147.13,30634.57
126963,I 040,160.89,0,0,0,0,31515.51,34293.0,24101.05,30590.35
126966,S 260                       0,160.82,0,0,0,0,253375.53,257118.33,247607.12,252574.89
126970,S 260,160.82,0,0,0,0,253381.28,257123.92,247612.48,252580.61
126976,I 040                       0,160.89,0,0,0,0,31730.63,34496.92,24294.77,30780.36
126977,I 040,160.89,0,0,0,0,31673.67,34447.03,24250.65,30738.27
126980,S 260                       0,160.82,0,0,0,0,253439.51,257180.49,247666.85,252638.45
126984,S 260,160.82,0,0,0,0,253445.81,257186.62,247672.76,252644.71
126990,I 040                       0,160.89,0,0,0,0,31883.95,34644.07,24436.13,30919.47
126991,I 040,160.89,0,0,0,0,31829.46,34597.55,24395.97,30881.59
126994,S 260                       0,160.82,0,0,0,0,253521.62,257260.89,247744.98,252720.15
126998,S 260,160.82,0,0,0,0,253530.11,257269.23,247753.12,252728.61
127004,I 040                       0,160.89,0,0,0,0,32033.07,34785.77,24571.24,31051.96
127005,I 040,160.89,0,0,0,0,31982.74,34744.63,24537.23,31020.6
127008,S 260                       0,160.82,0,0,0,0,253603.56,257341.13,247822.95,252801.7
127012,S 260,160.82,0,0,0,0,253609.95,257347.36,247828.96,252808.06
127018,I 040                       0,160.89,0,0,0,0,32182.66,34928.1,24707.21,31185.3
127019,I 040,160.89,0,0,0,0,32135.46,34890.98,24677.73,31158.76
127022,S 260                       0,160.82,0,0,0,0,253688.3,257424.2,247903.8,252886.05
127026,S 260,160.82,0,0,0,0,253698.61,257434.39,247913.82,252896.33
127032,I 040                       0,160.89,0,0,0,0,32337.57,35077.51,24851.57,31327.46
127033,I 040,160.89,0,0,0,0,32289.87,35039.61,24821.03,31299.83
127036,S 260                       0,160.82,0,0,0,0,253819.2,257553.98,248032.06,253016.69
127040,S 260,160.82,0,0,0,0,253832.06,257566.75,248044.71,253029.53
127046,I 040                       0,160.89,0,0,0,0,32496.09,35232.21,25002.43,31476.54
127047,I 040,160.89,0,0,0,0,32446.22,35191.0,24967.72,31444.46
127050,S 260                       0,160.82,0,0,0,0,253953.76,257687.46,248164.08,253151.0
127054,S 260,160.82,0,0,0,0,253965.09,257698.66,248175.13,253162.3
127060,I 040                       0,160.89,0,0,0,0,32655.34,35388.09,25154.83,31627.26
127061,I 040,160.89,0,0,0,0,32604.21,35344.83,25117.48,31592.36
127064,S 260                       0,160.82,0,0,0,0,254071.79,257804.13,248278.95,253268.71
127068,S 260,160.82,0,0,0,0,254082.26,257814.47,248289.12,253279.15
127074,I 040                       0,160.89,0,0,0,0,32814.63,35544.04,25307.38,31778.13
127075,I 040,160.89,0,0,0,0,32763.17,35500.25,25269.29,31742.47
127078,S 260                       0,160.82,0,0,0,0,254186.4,257917.34,248390.3,253383.0
127082,S 260,160.82,0,0,0,0,254196.87,257927.68,248400.47,253393.44
127088,I 040                       0,160.89,0,0,0,0,32973.93,35700.03,25460.03,31929.09
127089,I 040,160.89,0,0,0,0,32922.4,35656.13,25421.74,31893.25
127092,S 260                       0,160.82,0,0,0,0,254301.05,258030.59,248501.69,253497.33
127096,S 260,160.82,0,0,0,0,254311.53,258040.93,248511.87,253507.77
127102,I 040                       0,160.89,0,0,0,0,33133.24,35856.07,25612.78,32080.16
127103,I 040,160.89,0,0,0,0,33081.65,35812.06,25574.29,32044.13
127106,S 260                       0,160.82,0,0,0,0,254415.73,258143.87,248613.11,253611.68
127110,S 260,160.82,0,0,0,0,254426.2,258154.21,248623.28,253622.12
127116,I 040                       0,160.89,0,0,0,0,33292.57,36012.16,25765.63,32231.31
127117,I 040,160.89,0,0,0,0,33240.92,35968.02,25726.95,32195.11
127120,S 260                       0,160.82,0,0,0,0,254530.54,258257.27,248724.67,253726.16
127124,S 260,160.82,0,0,0,0,254541.06,258267.67,248734.9,253736.66
127130,I 040                       0,160.89,0,0,0,0,33451.92,36168.28,25918.57,32382.56
127131,I 040,160.89,0,0,0,0,33400.2,36124.04,25879.7,32346.18
127134,S 260                       0,160.82,0,0,0,0,254646.58,258371.93,248837.5,253841.89
127138,S 260,160.82,0,0,0,0,254657.27,258382.5,248847.9,253852.55
127144,I 040                       0,160.89,0,0,0,0,33611.28,36324.45,26071.61,32533.9
127145,I 040,160.89,0,0,0,0,33559.5,36280.09,26032.56,32497.34
127148,S 260                       0,160.82,0,0,0,0,254764.87,258488.86,248952.64,253959.86
127152,S 260,160.82,0,0,0,0,254775.8,258499.68,248963.3,253970.76
127158,I 040                       0,160.89,0,0,0,0,33770.65,36480.65,26224.75,32685.34
127159,I 040,160.89,0,0,0,0,33718.81,36436.19,26185.5,32648.6
127162,S 260                       0,160.82,0,0,0,0,254885.43,258608.11,249070.14,254080.12
127166,S 260,160.82,0,0,0,0,254896.5,258619.06,249080.93,254091.16
127172,I 040                       0,160.89,0,0,0,0,33930.04,36636.9,26377.97,32836.86
127173,I 040,160.89,0,0,0,0,33878.13,36592.33,26338.55,32799.95
127176,S 260                       0,160.82,0,0,0,0,255006.7,258728.06,249188.36,254201.08
127180,S 260,160.82,0,0,0,0,255017.77,258739.01,249199.16,254212.13
127186,I 040                       0,160.89,0,0,0,0,34089.44,36793.19,26531.29,32988.47
127187,I 040,160.89,0,0,0,0,34037.47,36748.51,26491.68,32951.39
127190,S 260                       0,160.82,0,0,0,0,255127.99,258848.04,249306.62,254322.08
127194,S 260,160.82,0,0,0,0,255139.07,258859.0,249317.42,254333.13
127200,I 040                       0,160.89,0,0,0,0,34248.86,36949.51,26684.7,33140.17
127201,I 040,160.89,0,0,0,0,34196.83,36904.72,26644.91,33102.92
127204,S 260                       0,160.82,0,0,0,0,255249.31,258968.05,249424.9,254443.09
127208,S 260,160.82,0,0,0,0,255260.39,258979.01,249435.7,254454.14
127214,I 040                       0,160.89,0,0,0,0,34408.29,37105.88,26838.19,33291.96
127215,I 040,160.89,0,0,0,0,34356.2,37060.99,26798.24,33254.55
127218,S 260                       0,160.82,0,0,0,0,255370.63,259088.05,249543.19,254564.11
127222,S 260,160.82,0,0,0,0,255381.71,259099.01,249553.99,254575.16
127228,I 040                       0,160.89,0,0,0,0,34567.73,37262.28,26991.77,33443.83
127229,I 040,160.89,0,0,0,0,34515.59,37217.3,26951.65,33406.27
127232,S 260                       0,160.82,0,0,0,0,255492.0,259208.11,249661.53,254685.18
127236,S 260,160.82,0,0,0,0,255503.08,259219.08,249672.33,254696.23
127242,I 040                       0,160.89,0,0,0,0,34727.19,37418.73,27145.44,33595.79
127243,I 040,160.89,0,0,0,0,34674.99,37373.64,27105.16,33558.07
127246,S 260                       0,160.82,0,0,0,0,255613.43,259328.23,249779.93,254806.31
127250,S 260,160.82,0,0,0,0,255624.52,259339.2,249790.75,254817.37
127256,I 040                       0,160.89,0,0,0,0,34886.66,37575.21,27299.19,33747.83
127257,I 040,160.89,0,0,0,0,34834.4,37530.03,27258.74,33709.95
127260,S 260                       0,160.82,0,0,0,0,255734.99,259448.48,249898.48,254927.57
127264,S 260,160.82,0,0,0,0,255746.11,259459.48,249909.32,254938.66
127270,I 040                       0,160.89,0,0,0,0,35046.14,37731.72,27453.02,33899.95
127271,I 040,160.89,0,0,0,0,34993.83,37686.45,27412.41,33861.92
127274,S 260                       0,160.82,0,0,0,0,255856.68,259568.86,250017.15,255048.96
127278,S 260,160.82,0,0,0,0,255867.78,259579.84,250027.98,255060.03
127284,I 040                       0,160.89,0,0,0,0,35205.64,37888.28,27606.93,34052.15
